County,state_name,FIPS Code,Unshelteredhomeless,Sheltered,Total
Bastrop,TX,48021,37,53,90
Bell,TX,48027,144,249,393
Bowie,TX,48037,50,69,119
Brazoria,TX,48039,44,9,53
Brown,TX,48049,4,0,4
Calhoun,TX,48057,15,0,15
Cameron,TX,48061,160,133,293
Camp,TX,48063,1,0,1
Cherokee,TX,48073,43,2,45
Comal,TX,48091,63,22,85
Coryell,TX,48099,15,0,15
Denton,TX,48121,126,68,194
Ector,TX,48135,5,81,86
Ellis,TX,48139,44,3,47
Fannin,TX,48147,13,0,13
Galveston,TX,48167,58,132,190
Goliad,TX,48175,11,0,11
Gonzales,TX,48177,2,0,2
Grayson,TX,48181,106,60,166
Gregg,TX,48183,92,138,230
Hardin,TX,48199,2,0,2
Harrison,TX,48203,12,0,12
Hidalgo,TX,48215,180,47,227
Jefferson,TX,48245,190,47,237
Johnson,TX,48251,0,17,17
Lamar,TX,48277,20,31,51
Lampasas,TX,48281,1,0,1
Liberty,TX,48291,0,1,1
Lubbock,TX,48303,129,164,293
Midland,TX,48329,88,71,159
Nueces,TX,48355,118,262,380
Orange,TX,48361,18,0,18
Pecos,TX,48371,0,8,8
Red River,TX,48387,3,0,3
Smith,TX,48423,46,255,301
Taylor,TX,48441,120,86,206
Titus,TX,48449,18,17,35
Tom Green,TX,48451,286,87,373
Victoria,TX,48469,86,43,129
Waller,TX,48473,0,3,3
Webb,TX,48479,117,124,241
Williamson,TX,48491,0,1,1
Adams,OH,39001,0,13,13
Allen,OH,39003,7,57,64
Ashland,OH,39005,0,22,22
Ashtabula,OH,39007,20,66,86
Athens,OH,39009,9,23,32
Auglaize,OH,39011,0,0,0
Belmont,OH,39013,0,21,21
Brown,OH,39015,3,0,3
Butler,OH,39017,86,212,298
Carroll,OH,39019,0,1,1
Champaign,OH,39021,0,25,25
Clark,OH,39023,1,151,152
Clermont,OH,39025,0,44,44
Clinton,OH,39027,0,22,22
Columbiana,OH,39029,1,19,20
Coshocton,OH,39031,0,25,25
Crawford,OH,39033,0,0,0
Darke,OH,39037,3,20,23
Defiance,OH,39039,6,26,32
Delaware,OH,39041,33,15,48
Erie,OH,39043,32,70,102
Fairfield,OH,39045,26,98,124
Fayette,OH,39047,9,11,20
Fulton,OH,39051,1,0,1
Gallia,OH,39053,8,10,18
Geauga,OH,39055,11,25,36
Greene,OH,39057,12,111,123
Guernsey,OH,39059,3,4,7
Hancock,OH,39063,13,95,108
Hardin,OH,39065,0,6,6
Harrison,OH,39067,0,0,0
Henry,OH,39069,1,6,7
Highland,OH,39071,2,13,15
Hocking,OH,39073,6,14,20
Holmes,OH,39075,5,18,23
Huron,OH,39077,0,23,23
Jackson,OH,39079,10,21,31
Jefferson,OH,39081,8,45,53
Knox,OH,39083,0,24,24
Lake,OH,39085,50,43,93
Lawrence,OH,39087,1,34,35
Licking,OH,39089,55,153,208
Logan,OH,39091,1,7,8
Lorain,OH,39093,34,147,181
Madison,OH,39097,7,9,16
Marion,OH,39101,4,58,62
Medina,OH,39103,16,20,36
Meigs,OH,39105,2,0,2
Mercer,OH,39107,0,0,0
Miami,OH,39109,1,39,40
Monroe,OH,39111,0,0,0
Morgan,OH,39115,8,6,14
Morrow,OH,39117,6,0,6
Muskingum,OH,39119,4,31,35
Noble,OH,39121,0,0,0
Ottawa,OH,39123,4,6,10
Paulding,OH,39125,1,0,1
Perry,OH,39127,0,1,1
Pickaway,OH,39129,2,61,63
Pike,OH,39131,61,12,73
Portage,OH,39133,60,86,146
Preble,OH,39135,20,17,37
Putnam,OH,39137,3,0,3
Richland,OH,39139,9,58,67
Ross,OH,39141,40,27,67
Sandusky,OH,39143,2,13,15
Scioto,OH,39145,45,32,77
Seneca,OH,39147,1,16,17
Shelby,OH,39149,3,7,10
Trumbull,OH,39155,11,89,100
Tuscarawas,OH,39157,0,41,41
Union,OH,39159,5,0,5
Van Wert,OH,39161,3,16,19
Vinton,OH,39163,1,11,12
Warren,OH,39165,6,168,174
Washington,OH,39167,8,12,20
Wayne,OH,39169,39,69,108
Williams,OH,39171,1,16,17
Wood,OH,39173,0,15,15
Wyandot,OH,39175,0,0,0
